Date,Case,Total_cases,,,,,,,,,,,,,,
26-04-2020,tested,759044,,,,,,,,,,,,,,
27-04-2020,tested,53903,,,,,,,,,,,,,,
27-04-2020,confirmed,10914,,,,,,,,,,,,,,
27-04-2020,tested,347189,,,,,,,,,,,,,,
27-04-2020,confirmed,29458,,,,,,,,,,,,,,
27-04-2020,recovered,7103,,,,,,,,,,,,,,
27-04-2020,tested,812947,,,,,,,,,,,,,,
28-04-2020,recovered,636,,,,,,,,,,,,,,
28-04-2020,confirmed,11279,,,,,,,,,,,,,,
28-04-2020,recovered,3763,,,,,,,,,,,,,,
28-04-2020,tested,363632,,,,,,,,,,,,,,
28-04-2020,confirmed,31360,,,,,,,,,,,,,,
28-04-2020,recovered,7739,,,,,,,,,,,,,,
28-04-2020,tested,870800,,,,,,,,,,,,,,
29-04-2020,confirmed,11692,,,,,,,,,,,,,,
29-04-2020,recovered,4059,,,,,,,,,,,,,,
29-04-2020,tested,380766,,,,,,,,,,,,,,
29-04-2020,confirmed,33065,,,,,,,,,,,,,,
29-04-2020,recovered,8429,,,,,,,,,,,,,,
29-04-2020,tested,934983,,,,,,,,,,,,,,
30-04-2020,recovered,630,,,,,,,,,,,,,,
30-04-2020,confirmed,11827,,,,,,,,,,,,,,
30-04-2020,recovered,4047,,,,,,,,,,,,,,
30-04-2020,tested,401400,,,,,,,,,,,,,,
30-04-2020,confirmed,34867,,,,,,,,,,,,,,
30-04-2020,recovered,9059,,,,,,,,,,,,,,
30-04-2020,tested,1003252,,,,,,,,,,,,,,
01-05-2020,tested,66528,,,,,,,,,,,,,,
01-05-2020,confirmed,12815,,,,,,,,,,,,,,
01-05-2020,recovered,4525,,,,,,,,,,,,,,
01-05-2020,tested,409519,,,,,,,,,,,,,,
01-05-2020,confirmed,37263,,,,,,,,,,,,,,
01-05-2020,recovered,10021,,,,,,,,,,,,,,
01-05-2020,tested,1069780,,,,,,,,,,,,,,
02-05-2020,recovered,831,,,,,,,,,,,,,,
02-05-2020,recovered,4914,,,,,,,,,,,,,,
02-05-2020,tested,433982,,,,,,,,,,,,,,
02-05-2020,confirmed,39827,,,,,,,,,,,,,,
02-05-2020,recovered,10852,,,,,,,,,,,,,,
02-05-2020,tested,1144582,,,,,,,,,,,,,,
03-05-2020,recovered,911,,,,,,,,,,,,,,
